,,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,Image Link,Narrative
36,,,PropchainPROPC,$3.85,,,,,,,,,RWA
37,,,OpulousOPUL,$0.23,,,,,,,,,RWA
38,,,PLANETPLANET,$0.00,,,,,,,,,RWA
39,,,LumerinLMR,$0.08,,,,,,,,,RWA
40,,,ELYSIAEL,$0.01,,,,,,,,,RWA
41,,,Swarm MarketsSMT,$1.07,,,,,,,,,RWA
42,,,Blocksquare TokenBST,$0.75,,,,,,,,,RWA
43,,,CredefiCREDI,$0.04,,,,,,,,,RWA
44,,,HathorHTR,$0.11,,,,,,,,,RWA
45,,,Stobox TokenSTBU,$0.28,,,,,,,,,RWA
46,,,TRVLTRVL,$0.08,,,,,,,,,RWA
47,,,KlimaDAOKLIMA,$2.94,,,,,,,,,RWA
48,,,EverestID,$0.17,,,,,,,,,RWA
49,,,BrickkenBKN,$0.73,,,,,,,,,RWA
50,,,LandshareLAND,$4.69,,,,,,,,,RWA
51,,,BytomBTM,$0.01,,,,,,,,,RWA
52,,,UBXS TokenUBXS,$0.38,,,,,,,,,RWA
53,,,Realio NetworkRIO,$2.15,,,,,,,,,RWA
54,,,Comtech GoldCGO,$75.50,,,,,,,,,RWA
55,,,SoilSOIL,$2.86,,,,,,,,,RWA
56,,,VeloceVEXT,$0.09,,,,,,,,,RWA
57,,,Horizon ProtocolHZN,$0.05,,,,,,,,,RWA
58,,,3DPassP3D,$0.02,,,,,,,,,RWA
59,,,Uno ReUNO,$0.06,,,,,,,,,RWA
60,,,ApeBondABOND,$0.03,,,,,,,,,RWA
61,,,Alvara ProtocolALVA,$0.79,,,,,,,,,RWA
62,,,LABS GroupLABS,$0.00,,,,,,,,,RWA
63,,,Acquire.FiACQ,$0.03,,,,,,,,,RWA
64,,,EktaEKTA,$0.00,,,,,,,,,RWA
65,,,Polyhedra NetworkZK,$2.50,,,,,,,,,RWA
66,,,CANTOCANTO,$0.21,,,,,,,,,RWA
67,,,IX SwapIXS,$0.57,,,,,,,,,RWA
68,,,Grand BaseGB,$2.94,,,,,,,,,RWA
69,,,LandX FinanceLNDX,$2.17,,,,,,,,,RWA
70,,,Cogito FinanceCGV,$0.16,,,,,,,,,RWA
71,,,DefactorFACTR,$0.20,,,,,,,,,RWA
72,,,Alkimi$ADS,$0.18,,,,,,,,,RWA
73,,,ORIGYNOGY,$0.01,,,,,,,,,RWA
74,,,LEOXLEOX,$1.17,,,,,,,,,RWA
75,,,Crypto Real EstateCRE,$0.06,,,,,,,,,RWA
76,,,BilliCatBCAT,$0.01,,,,,,,,,RWA
77,,,STIMASTIMA,$1.00,,,,,,,,,RWA
78,,,Domani ProtocolDEXTF,$0.24,,,,,,,,,RWA
79,,,AssetMantleMNTL,$0.00,,,,,,,,,RWA
80,,,Crafting FinanceCRF,$0.00,,,,,,,,,RWA
81,,,TheopetraTHEO,$0.10,,,,,,,,,RWA
82,,,NAOS FinanceNAOS,$0.04,,,,,,,,,RWA
83,,,Decentralized ETFDETF,$0.10,,,,,,,,,RWA
84,,,ComdexCMDX,$0.03,,,,,,,,,RWA
85,,,Curio GovernanceCGT,$0.02,,,,,,,,,RWA
86,,,LucidaoLCD,$0.03,,,,,,,,,RWA
87,,,Poison FinancePOI$ON,$0.16,,,,,,,,,RWA
88,,,TiamondsTIA,$0.01,,,,,,,,,RWA
89,,,Staked USDTSTUSDT,$0.99,,,,,,,,,RWA
90,,,Republic NoteNOTE,$--,,,,,,,,,RWA
91,,,HomeCoinHOME,$--,,,,,,,,,RWA
92,,,CitaDAOKNIGHT,$--,,,,,,,,,RWA
93,,,Bluejay FinanceBLU,$--,,,,,,,,,RWA
94,,,OUSGOUSG,$--,,,,,,,,,RWA
95,,,OpenEden TBILL VaultTBILL,$--,,,,,,,,,RWA
96,,,Short-term T-Bill TokenSTBT,$--,,,,,,,,,RWA
97,,,Backed IB01 $ Treasury Bond 0-1yrBIB01,$--,,,,,,,,,RWA
98,,,Franklin OnChain U.S. Government Money FundFOBXX,$--,,,,,,,,,RWA
99,,,WisdomTree Short-Term Treasury Digital FundWTSYX,$--,,,,,,,,,RWA
