,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,Image Link,Narative
,,SushiSwapSUSHI,$1.50,,,,,,,,,Defi
,,Convex FinanceCVX,$3.69,,,,,,,,,Defi
,,KadenaKDA,$1.25,,,,,,,,,Defi
,,ChromiaCHR,$0.40,,,,,,,,,Defi
,,Band ProtocolBAND,$2.18,,,,,,,,,Defi
,,NeutronNTRN,$1.06,,,,,,,,,Defi
,,UMAUMA,$3.61,,,,,,,,,Defi
,,JOEJOE,$0.78,,,,,,,,,Defi
,,yearn.financeYFI,$8395.91,,,,,,,,,Defi
,,BalancerBAL,$4.97,,,,,,,,,Defi
,,API3API3,$3.21,,,,,,,,,Defi
,,SolarSXP,$0.45,,,,,,,,,Defi
,,MarlinPOND,$0.03,,,,,,,,,Defi
,,AlephiumALPH,$3.40,,,,,,,,,Defi
,,COTICOTI,$0.16,,,,,,,,,Defi
,,iExec RLCRLC,$3.44,,,,,,,,,Defi
,,VenusXVS,$14.96,,,,,,,,,Defi
,,DAO MakerDAO,$1.51,,,,,,,,,Defi
,,TellorTRB,$87.92,,,,,,,,,Defi
,,VVS FinanceVVS,$0.00,,,,,,,,,Defi
,,NumeraireNMR,$33.23,,,,,,,,,Defi
,,Keep NetworkKEEP,$0.19,,,,,,,,,Defi
,,CovalentCQT,$0.26,,,,,,,,,Defi
,,OraichainORAI,$13.94,,,,,,,,,Defi
,,RequestREQ,$0.17,,,,,,,,,Defi
,,inSure DeFiSURE,$0.01,,,,,,,,,Defi
,,SmarDexSDEX,$0.02,,,,,,,,,Defi
,,HashflowHFT,$0.42,,,,,,,,,Defi
,,SecretSCRT,$0.59,,,,,,,,,Defi
,,StellaALPHA,$0.18,,,,,,,,,Defi
,,Bounce TokenAUCTION,$23.48,,,,,,,,,Defi
,,TrueFiTRU,$0.13,,,,,,,,,Defi
,,Radiant CapitalRDNT,$0.31,,,,,,,,,Defi
,,Acala TokenACA,$0.15,,,,,,,,,Defi
,,TribeTRIBE,$0.27,,,,,,,,,Defi
,,DODODODO,$0.24,,,,,,,,,Defi
,,LiquityLQTY,$1.51,,,,,,,,,Defi
,,Kyber Network Crystal v2KNC,$0.75,,,,,,,,,Defi
,,TokenFiTOKEN,$0.14,,,,,,,,,Defi
,,ChainGPTCGPT,$0.32,,,,,,,,,Defi
,,Hifi FinanceHIFI,$1.13,,,,,,,,,Defi
,,STPSTPT,$0.07,,,,,,,,,Defi
,,Origin ProtocolOGN,$0.22,,,,,,,,,Defi
,,TelosTLOS,$0.32,,,,,,,,,Defi
,,MOBOXMBOX,$0.42,,,,,,,,,Defi
,,Liquity USDLUSD,$1.00,,,,,,,,,Defi
,,Badger DAOBADGER,$6.03,,,,,,,,,Defi
,,BancorBNT,$0.86,,,,,,,,,Defi
,,Bella ProtocolBEL,$1.73,,,,,,,,,Defi
,,BakeryTokenBAKE,$0.38,,,,,,,,,Defi
